angle_maximum,angle_mean,angle_median,angle_minimum,angle_n,angle_p05,angle_p25,angle_p75,angle_p95,angle_rms,angle_sem,angle_std_population,angular_metric,effective_n,length_mean_absolute_error_voxels,length_std_population_voxels,mode,reported_n,scenario,scope
178.6432647705078,25.729907989501953,16.863261222839355,2.3480641841888428,156,4.691857099533081,10.865326642990112,27.195093631744385,74.8300552368164,40.50849654099988,2.505008196252721,31.28754234313965,production_quaternion_error_deg,156,1.5653084516525269,1.3551474809646606,156_unique_groundtruth_crops,156,1_original_model_original_metric,controlled_unique_holdout
178.12080256924315,25.307058334350586,17.735306280140627,2.2005733319620577,140,6.071805595101099,11.019010280892864,28.11424295701995,70.4410944635604,37.75558696540058,2.367996524140038,28.018512725830078,production_quaternion_error_deg,140,1.9435396194458008,1.5799943208694458,all_groundtruth_centers,145,1_original_model_original_metric,manuscript_frozen_centers
178.12080256924315,26.31013298034668,17.487572415615386,2.2005733319620577,121,5.869760626368304,10.607192383684508,28.30955557969683,77.100498481947,41.44245491330862,2.9108713323419746,32.01958465576172,production_quaternion_error_deg,121,2.0181896686553955,1.5753116607666016,matched_groundtruth_centers,124,1_original_model_original_metric,manuscript_frozen_centers
176.6679667422551,37.48207473754883,15.202809759474693,1.6205828741313097,121,4.945021414701666,10.136796677964123,39.89963778494977,142.30190050299112,59.02409585096867,4.145033402876421,45.595367431640625,production_quaternion_error_deg,121,2.1514463424682617,2.0728442668914795,predicted_centers,124,1_original_model_original_metric,manuscript_frozen_centers
89.94314575195312,13.65534496307373,11.142998695373535,0.7132670879364014,156,2.643202781677246,6.81019651889801,17.779966831207275,31.920166015625,17.59618917219324,0.8885214654964866,11.09762954711914,corrected_nematic_axis_error_deg,156,1.5653084516525269,1.3551474809646606,156_unique_groundtruth_crops,156,2_original_model_corrected_nematic_metric,controlled_unique_holdout
83.29144612736282,14.893903732299805,12.341823592377596,1.1043897617156428,140,2.487261972300119,7.369288532527495,18.241654432671876,36.167580100721224,19.573149614472847,1.0733120353051202,12.699599266052246,corrected_nematic_axis_error_deg,140,1.9435396194458008,1.5799943208694458,all_groundtruth_centers,145,2_original_model_corrected_nematic_metric,manuscript_frozen_centers
83.29144612736282,14.923012733459473,12.1948831058034,1.1043897617156428,121,2.46025038430301,6.396254802671826,17.757216415923683,37.93495619820514,20.135356991546022,1.228908972306685,13.517998695373535,corrected_nematic_axis_error_deg,121,2.0181896686553955,1.5753116607666016,matched_groundtruth_centers,124,2_original_model_corrected_nematic_metric,manuscript_frozen_centers
88.8746674730571,19.672212600708008,10.105887711304277,0.13906613631166403,121,2.9814010311079286,6.499806608829162,21.942898493577342,76.65075830848015,29.355499043648575,1.980794906616211,21.78874397277832,corrected_nematic_axis_error_deg,121,2.1514463424682617,2.0728442668914795,predicted_centers,124,2_original_model_corrected_nematic_metric,manuscript_frozen_centers
45.090267181396484,10.892897605895996,8.767526626586914,0.1988101601600647,156,2.4847097992897034,5.3943222761154175,13.490541696548462,26.08814811706543,13.40904778070993,0.6260752107585592,7.819676876068115,corrected_nematic_axis_error_deg,156,1.502277135848999,1.1873114109039307,156_unique_groundtruth_crops,156,3_retrained_model_corrected_nematic_metric,controlled_unique_holdout
89.93952902829741,12.57498550415039,9.40917764775771,0.8752682581125346,140,2.1331902966915335,5.56220305340089,16.90048072991676,29.255386968995595,16.790507040362886,0.9403300226123049,11.126134872436523,corrected_nematic_axis_error_deg,140,1.8957388401031494,1.4275574684143066,all_groundtruth_centers,145,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers
82.78856844626716,12.23646068572998,9.196963066603201,0.8752682581125346,121,2.133912275791674,5.24847007849508,15.737004392548734,27.779641536228763,16.89222478170242,1.058676459572532,11.645441055297852,corrected_nematic_axis_error_deg,121,1.9329966306686401,1.4451904296875,matched_groundtruth_centers,124,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers
89.83285229068565,19.44739532470703,9.460082131938996,1.3356111088377365,121,1.8819613536909443,4.989369081577482,19.435335018077062,79.48866270692824,30.458471582216596,2.131071610884233,23.441787719726562,corrected_nematic_axis_error_deg,121,2.1015334129333496,2.131446599960327,predicted_centers,124,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers
