count,fraction,lower_deg_inclusive,mode,n,record_type,scenario,scope,threshold_deg,upper_deg_exclusive
29,0.2396694214876033,,matched_groundtruth_centers,121,cdf_threshold,1_original_model_original_metric,manuscript_frozen_centers,10,
51,0.4214876033057851,,matched_groundtruth_centers,121,cdf_threshold,1_original_model_original_metric,manuscript_frozen_centers,15,
72,0.5950413223140496,,matched_groundtruth_centers,121,cdf_threshold,1_original_model_original_metric,manuscript_frozen_centers,20,
93,0.768595041322314,,matched_groundtruth_centers,121,cdf_threshold,1_original_model_original_metric,manuscript_frozen_centers,30,
108,0.8925619834710744,,matched_groundtruth_centers,121,cdf_threshold,1_original_model_original_metric,manuscript_frozen_centers,45,
112,0.9256198347107438,,matched_groundtruth_centers,121,cdf_threshold,1_original_model_original_metric,manuscript_frozen_centers,60,
116,0.9586776859504132,,matched_groundtruth_centers,121,cdf_threshold,1_original_model_original_metric,manuscript_frozen_centers,90,
7,0.05785123966942149,0.0,predicted_centers,121,histogram_bin,1_original_model_original_metric,manuscript_frozen_centers,,5.0
23,0.19008264462809918,5.0,predicted_centers,121,histogram_bin,1_original_model_original_metric,manuscript_frozen_centers,,10.0
30,0.24793388429752067,10.0,predicted_centers,121,histogram_bin,1_original_model_original_metric,manuscript_frozen_centers,,15.0
12,0.09917355371900827,15.0,predicted_centers,121,histogram_bin,1_original_model_original_metric,manuscript_frozen_centers,,20.0
15,0.12396694214876033,20.0,predicted_centers,121,histogram_bin,1_original_model_original_metric,manuscript_frozen_centers,,30.0
7,0.05785123966942149,30.0,predicted_centers,121,histogram_bin,1_original_model_original_metric,manuscript_frozen_centers,,45.0
1,0.008264462809917356,45.0,predicted_centers,121,histogram_bin,1_original_model_original_metric,manuscript_frozen_centers,,60.0
3,0.024793388429752067,60.0,predicted_centers,121,histogram_bin,1_original_model_original_metric,manuscript_frozen_centers,,75.0
2,0.01652892561983471,75.0,predicted_centers,121,histogram_bin,1_original_model_original_metric,manuscript_frozen_centers,,90.000001
7,0.05785123966942149,,predicted_centers,121,cdf_threshold,1_original_model_original_metric,manuscript_frozen_centers,5,
30,0.24793388429752067,,predicted_centers,121,cdf_threshold,1_original_model_original_metric,manuscript_frozen_centers,10,
60,0.49586776859504134,,predicted_centers,121,cdf_threshold,1_original_model_original_metric,manuscript_frozen_centers,15,
72,0.5950413223140496,,predicted_centers,121,cdf_threshold,1_original_model_original_metric,manuscript_frozen_centers,20,
87,0.71900826446281,,predicted_centers,121,cdf_threshold,1_original_model_original_metric,manuscript_frozen_centers,30,
94,0.7768595041322314,,predicted_centers,121,cdf_threshold,1_original_model_original_metric,manuscript_frozen_centers,45,
95,0.7851239669421488,,predicted_centers,121,cdf_threshold,1_original_model_original_metric,manuscript_frozen_centers,60,
100,0.8264462809917356,,predicted_centers,121,cdf_threshold,1_original_model_original_metric,manuscript_frozen_centers,90,
21,0.1346153846153846,0.0,156_unique_groundtruth_crops,156,histogram_bin,2_original_model_corrected_nematic_metric,controlled_unique_holdout,,5.0
48,0.3076923076923077,5.0,156_unique_groundtruth_crops,156,histogram_bin,2_original_model_corrected_nematic_metric,controlled_unique_holdout,,10.0
35,0.22435897435897437,10.0,156_unique_groundtruth_crops,156,histogram_bin,2_original_model_corrected_nematic_metric,controlled_unique_holdout,,15.0
25,0.16025641025641027,15.0,156_unique_groundtruth_crops,156,histogram_bin,2_original_model_corrected_nematic_metric,controlled_unique_holdout,,20.0
16,0.10256410256410256,20.0,156_unique_groundtruth_crops,156,histogram_bin,2_original_model_corrected_nematic_metric,controlled_unique_holdout,,30.0
8,0.05128205128205128,30.0,156_unique_groundtruth_crops,156,histogram_bin,2_original_model_corrected_nematic_metric,controlled_unique_holdout,,45.0
1,0.00641025641025641,45.0,156_unique_groundtruth_crops,156,histogram_bin,2_original_model_corrected_nematic_metric,controlled_unique_holdout,,60.0
1,0.00641025641025641,60.0,156_unique_groundtruth_crops,156,histogram_bin,2_original_model_corrected_nematic_metric,controlled_unique_holdout,,75.0
1,0.00641025641025641,75.0,156_unique_groundtruth_crops,156,histogram_bin,2_original_model_corrected_nematic_metric,controlled_unique_holdout,,90.000001
21,0.1346153846153846,,156_unique_groundtruth_crops,156,cdf_threshold,2_original_model_corrected_nematic_metric,controlled_unique_holdout,5,
69,0.4423076923076923,,156_unique_groundtruth_crops,156,cdf_threshold,2_original_model_corrected_nematic_metric,controlled_unique_holdout,10,
104,0.6666666666666666,,156_unique_groundtruth_crops,156,cdf_threshold,2_original_model_corrected_nematic_metric,controlled_unique_holdout,15,
129,0.8269230769230769,,156_unique_groundtruth_crops,156,cdf_threshold,2_original_model_corrected_nematic_metric,controlled_unique_holdout,20,
145,0.9294871794871795,,156_unique_groundtruth_crops,156,cdf_threshold,2_original_model_corrected_nematic_metric,controlled_unique_holdout,30,
153,0.9807692307692307,,156_unique_groundtruth_crops,156,cdf_threshold,2_original_model_corrected_nematic_metric,controlled_unique_holdout,45,
154,0.9871794871794872,,156_unique_groundtruth_crops,156,cdf_threshold,2_original_model_corrected_nematic_metric,controlled_unique_holdout,60,
156,1.0,,156_unique_groundtruth_crops,156,cdf_threshold,2_original_model_corrected_nematic_metric,controlled_unique_holdout,90,
20,0.14285714285714285,0.0,all_groundtruth_centers,140,histogram_bin,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,,5.0
34,0.24285714285714285,5.0,all_groundtruth_centers,140,histogram_bin,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,,10.0
34,0.24285714285714285,10.0,all_groundtruth_centers,140,histogram_bin,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,,15.0
26,0.18571428571428572,15.0,all_groundtruth_centers,140,histogram_bin,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,,20.0
15,0.10714285714285714,20.0,all_groundtruth_centers,140,histogram_bin,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,,30.0
6,0.04285714285714286,30.0,all_groundtruth_centers,140,histogram_bin,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,,45.0
3,0.02142857142857143,45.0,all_groundtruth_centers,140,histogram_bin,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,,60.0
1,0.007142857142857143,60.0,all_groundtruth_centers,140,histogram_bin,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,,75.0
1,0.007142857142857143,75.0,all_groundtruth_centers,140,histogram_bin,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,,90.000001
20,0.14285714285714285,,all_groundtruth_centers,140,cdf_threshold,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,5,
54,0.38571428571428573,,all_groundtruth_centers,140,cdf_threshold,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,10,
88,0.6285714285714286,,all_groundtruth_centers,140,cdf_threshold,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,15,
114,0.8142857142857143,,all_groundtruth_centers,140,cdf_threshold,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,20,
129,0.9214285714285714,,all_groundtruth_centers,140,cdf_threshold,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,30,
135,0.9642857142857143,,all_groundtruth_centers,140,cdf_threshold,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,45,
138,0.9857142857142858,,all_groundtruth_centers,140,cdf_threshold,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,60,
140,1.0,,all_groundtruth_centers,140,cdf_threshold,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,90,
18,0.1487603305785124,0.0,matched_groundtruth_centers,121,histogram_bin,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,,5.0
31,0.256198347107438,5.0,matched_groundtruth_centers,121,histogram_bin,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,,10.0
29,0.2396694214876033,10.0,matched_groundtruth_centers,121,histogram_bin,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,,15.0
21,0.17355371900826447,15.0,matched_groundtruth_centers,121,histogram_bin,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,,20.0
11,0.09090909090909091,20.0,matched_groundtruth_centers,121,histogram_bin,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,,30.0
5,0.04132231404958678,30.0,matched_groundtruth_centers,121,histogram_bin,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,,45.0
4,0.03305785123966942,45.0,matched_groundtruth_centers,121,histogram_bin,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,,60.0
1,0.008264462809917356,60.0,matched_groundtruth_centers,121,histogram_bin,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,,75.0
1,0.008264462809917356,75.0,matched_groundtruth_centers,121,histogram_bin,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,,90.000001
18,0.1487603305785124,,matched_groundtruth_centers,121,cdf_threshold,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,5,
49,0.4049586776859504,,matched_groundtruth_centers,121,cdf_threshold,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,10,
78,0.6446280991735537,,matched_groundtruth_centers,121,cdf_threshold,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,15,
99,0.8181818181818182,,matched_groundtruth_centers,121,cdf_threshold,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,20,
110,0.9090909090909091,,matched_groundtruth_centers,121,cdf_threshold,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,30,
115,0.9504132231404959,,matched_groundtruth_centers,121,cdf_threshold,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,45,
119,0.9834710743801653,,matched_groundtruth_centers,121,cdf_threshold,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,60,
121,1.0,,matched_groundtruth_centers,121,cdf_threshold,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,90,
18,0.1487603305785124,0.0,predicted_centers,121,histogram_bin,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,,5.0
41,0.33884297520661155,5.0,predicted_centers,121,histogram_bin,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,,10.0
20,0.1652892561983471,10.0,predicted_centers,121,histogram_bin,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,,15.0
10,0.08264462809917356,15.0,predicted_centers,121,histogram_bin,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,,20.0
9,0.0743801652892562,20.0,predicted_centers,121,histogram_bin,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,,30.0
8,0.06611570247933884,30.0,predicted_centers,121,histogram_bin,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,,45.0
3,0.024793388429752067,45.0,predicted_centers,121,histogram_bin,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,,60.0
4,0.03305785123966942,60.0,predicted_centers,121,histogram_bin,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,,75.0
8,0.06611570247933884,75.0,predicted_centers,121,histogram_bin,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,,90.000001
18,0.1487603305785124,,predicted_centers,121,cdf_threshold,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,5,
59,0.48760330578512395,,predicted_centers,121,cdf_threshold,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,10,
79,0.6528925619834711,,predicted_centers,121,cdf_threshold,2_original_model_corrected_nematic_metric,manuscript_frozen_centers,15,
