absolute_length_error_voxels,center_distance_voxels,corrected_nematic_axis_error_deg,evaluated,mode,model,pair_index,predicted_axis_x,predicted_axis_y,predicted_axis_z,predicted_length_voxels,predicted_quaternion_vector_norm,production_quaternion_error_deg,reported_pair_count,scope,time_distance_frames,true_axis_x,true_axis_y,true_axis_z,true_length_voxels,true_quaternion_vector_norm
4.229908278987146,0.5,12.48876407895179,True,all_groundtruth_centers,original_epoch_098,0,0.8654265590949073,0.21112681930523633,-0.45438126830141545,15.08329963684082,0.19525006153918475,17.713211548563827,145,manuscript_frozen_centers,0.0,0.7766705419241946,0.10355607820223026,-0.6213364692133815,19.313207915827967,0.33416271465104774
1.7466073733664835,0.5,21.492241883714,True,all_groundtruth_centers,original_epoch_098,1,0.8519205080243639,0.4342442018638296,0.29268314122127925,16.610952377319336,0.21851291110712456,15.26936403039566,145,manuscript_frozen_centers,0.0,0.9805224796011646,0.10894693903213663,0.16342041326686077,18.35755975068582,0.09868515977618429
0.9915409038524778,0.7071067811865476,15.800252087137174,True,all_groundtruth_centers,original_epoch_098,2,0.6591990964528311,-0.35466490196183637,0.6630756808631817,11.668619155883789,0.9065940587380489,28.69790615750068,145,manuscript_frozen_centers,0.0,-0.6556100634380707,0.09365858166099718,-0.7492686532879774,10.677078252031311,0.9098379201047015
0.613217359834243,0.5,18.404746658906113,True,all_groundtruth_centers,original_epoch_098,3,-0.1740186195578236,0.981697259585961,-0.07738223677694821,14.910957336425781,0.7678034897453158,28.30955557969683,145,manuscript_frozen_centers,0.0,-0.1932469834375364,0.9018192817640698,-0.3864939668750728,15.524174696260024,0.7724140840546581
1.78908730938379,0.0,7.986610022706805,True,all_groundtruth_centers,original_epoch_098,4,0.4447421757584589,-0.21762786245765128,0.8688167301472421,12.771132469177246,0.794072558961753,22.58290505133484,145,manuscript_frozen_centers,0.0,-0.549442255794756,0.137360563948689,-0.8241633836921342,14.560219778561036,0.8801824466656047
0.03724412817343925,0.7071067811865476,9.072351220743048,True,all_groundtruth_centers,original_epoch_098,5,0.8915797521188636,-0.44700569840966786,-0.07260476018106977,15.774144172668457,0.959725160938821,17.487572415615386,145,manuscript_frozen_centers,0.0,-0.8221921848997131,0.5692099885717361,0.0,15.811388300841896,0.9545135345194468
0.6667628441889377,0.8660254037844386,2.488683634826282,True,all_groundtruth_centers,original_epoch_098,6,0.7073842680339926,0.2864937468122585,-0.646164708395225,11.010843276977539,0.3882951351422739,2.6096692360486937,145,manuscript_frozen_centers,0.0,0.6767155381753457,0.2900209661112529,-0.6767155381753457,10.344080432788601,0.40204753515231134
0.6750982119017301,0.7071067811865476,15.72436969209082,True,all_groundtruth_centers,original_epoch_098,7,0.9394870068196836,-0.09948338402377642,0.32782193386070074,11.57235050201416,0.9763095917256253,32.04019109556674,145,manuscript_frozen_centers,0.0,-0.8164966017753487,0.0816496539232479,-0.5715475774627352,12.24744871391589,0.9530206166102841
2.5748529470341737,0.0,26.527879788659824,True,all_groundtruth_centers,original_epoch_098,8,0.3166678127971476,-0.4032268222349969,0.8585625348036896,11.567282676696777,0.7712659777153261,40.44522576792514,145,manuscript_frozen_centers,0.0,-0.14142135761804392,0.0,-0.9899494934639188,14.142135623730951,0.755453961702963
1.299469606655041,0.7071067811865476,57.84545668364007,True,all_groundtruth_centers,original_epoch_098,9,0.6515525187473297,-0.711243025961827,0.26384213714771665,16.19338607788086,0.08345206238373121,11.759316005793604,145,manuscript_frozen_centers,0.0,0.9718253136279184,0.057166197227134584,-0.22866478890853834,17.4928556845359,0.11869010599583531
4.84261644222811,0.7071067811865476,69.49777068314948,True,all_groundtruth_centers,original_epoch_098,10,-0.12519707433900448,0.9881967770908521,-0.08827696372331068,11.950239181518555,0.6061982736725634,76.73513230478697,145,manuscript_frozen_centers,0.0,0.4168439250177675,0.4763930571631628,0.7741387454859221,16.792855623746664,0.5399796513381918
0.3141529668079208,0.5,18.554014303968973,True,all_groundtruth_centers,original_epoch_098,11,0.7745368419354172,0.36580494093033905,0.5160226987988625,11.892402648925781,0.2730877605777089,21.36998779404144,145,manuscript_frozen_centers,0.0,0.6553855407518844,0.1638463851879711,0.7373087243714094,12.206555615733702,0.41509907832353626
2.612953168836052,0.5,35.143185558016775,True,all_groundtruth_centers,original_epoch_098,12,0.9090001218756872,-0.11449614068023667,0.40076104126937934,12.651384353637695,0.9601307127405482,69.48237320959078,145,manuscript_frozen_centers,0.0,-0.5240974085212615,0.0,-0.851658327254127,15.264337522473747,0.8729540200479509
