name,version,location,direct_url_json
freetype-py,2.5.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
frozenlist,1.8.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
fsspec,2026.4.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
funcsigs,1.0.2,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
gitdb,4.0.12,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
GitPython,3.1.50,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
google-auth,2.55.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
gputools,0.3.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
graphene,3.4.3,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
graphql-core,3.2.11,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
graphql-relay,3.2.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
greenlet,3.5.3,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
grpcio,1.81.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
h11,0.16.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
HeapDict,1.0.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
hf-xet,1.5.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
hsluv,5.0.4,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
httpcore,1.0.9,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
httpx,0.28.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
huey,3.0.3,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
huggingface_hub,1.21.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
hydra-colorlog,1.2.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
hydra-core,1.3.2,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
hydra-optuna-sweeper,1.2.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
identify,2.6.19,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
idna,3.18,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
ImageIO,2.37.3,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
imagesize,2.0.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
importlib_metadata,9.0.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
in-n-out,0.2.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
iniconfig,2.3.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
ipykernel,6.31.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
ipython,8.39.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
ipython_pygments_lexers,1.1.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
itsdangerous,2.2.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
jedi,0.20.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
Jinja2,3.1.6,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
joblib,1.5.3,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
jsonschema,4.26.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
jsonschema-specifications,2025.9.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
jupyter_client,8.9.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
jupyter_core,5.9.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
jupyterlab_pygments,0.3.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
kiwisolver,1.5.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
lazy-loader,0.5,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
lightning,2.6.5,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
lightning-utilities,0.15.3,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
llvmlite,0.42.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
locket,1.0.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
magicgui,0.10.2,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
Mako,1.3.12,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
Markdown,3.10.2,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
markdown-it-py,4.2.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
MarkupSafe,3.0.3,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
matplotlib,3.10.9,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
matplotlib-inline,0.2.2,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
mdurl,0.1.2,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
mistune,3.3.2,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
mlflow,3.14.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
mlflow-skinny,3.14.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
mlflow-tracing,3.14.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
monai,1.3.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
mpmath,1.3.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
multidict,6.7.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
napari,0.5.6,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
napari-console,0.1.4,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
napari-metadata,0.3.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
napari-plugin-engine,0.2.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
napari-plugin-manager,0.1.11,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
napari-svg,0.2.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
nbclient,0.11.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
nbconvert,7.17.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
nbformat,5.10.4,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
nest-asyncio,1.6.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
networkx,3.4.2,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
nodeenv,1.10.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
npe2,0.8.3,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
numba,0.59.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
numcodecs,0.13.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
numpy,1.23.4,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
numpydoc,1.10.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
omegaconf,2.3.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
opentelemetry-api,1.43.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
opentelemetry-proto,1.43.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
opentelemetry-sdk,1.43.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
opentelemetry-semantic-conventions,0.64b0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
optuna,2.10.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
packaging,26.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
pandas,2.3.3,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
pandocfilters,1.5.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
parso,0.8.7,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
partd,1.4.2,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
pillow,12.2.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
Pint,0.24.4,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
pip,26.1.2,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,"{""dir_info"": {}, ""url"": ""file:///home/task_178229373358736/croot/pip_1782293756958/work""}"
platformdirs,4.10.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
pluggy,1.6.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
pooch,1.9.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
pre_commit,4.6.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
prettytable,3.18.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
prompt_toolkit,3.0.52,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
propcache,0.5.2,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
protobuf,6.33.6,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
psutil,7.2.2,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
psygnal,0.15.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
pure_eval,0.2.3,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
pyarrow,24.0.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
pyasn1,0.6.3,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
pyasn1_modules,0.4.2,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
pyconify,0.2.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
pycparser,3.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
pydantic,2.13.4,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
pydantic-compat,0.1.2,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
pydantic-extra-types,2.11.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
pydantic-settings,2.14.2,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
pydantic_core,2.46.4,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
Pygments,2.20.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
pyopencl,2026.1.2,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
PyOpenGL,3.1.10,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
pyparsing,3.3.2,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
pyperclip,1.11.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
pyproject_hooks,1.2.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
PyQt6,6.10.2,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
PyQt6-Qt6,6.10.2,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
PyQt6_sip,13.11.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
pyreadline3,3.5.6,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
pytest,9.1.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
python-dateutil,2.9.0.post0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
python-discovery,1.4.2,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
python-dotenv,1.2.2,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
pytools,2026.1.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
pytorch-lightning,2.6.5,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
pytz,2026.2,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
pywin32,312,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
PyYAML,6.0.3,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
pyzmq,27.1.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
qtconsole,5.7.2,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
QtPy,2.4.3,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
referencing,0.37.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
reikna,0.8.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
requests,2.34.2,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
rich,15.0.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
rich-argparse,1.8.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
rootutils,1.0.7,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
rpds-py,0.30.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
scikit-image,0.24.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
scikit-learn,1.7.2,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
scikit-tensor-py3,0.2.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
scipy,1.13.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
setuptools,82.0.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
shellingham,1.5.4,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
siphash24,1.8,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
six,1.17.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
skops,0.11.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
smmap,5.0.3,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
snowballstemmer,3.1.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
soupsieve,2.8.4,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
Sphinx,8.1.3,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
sphinxcontrib-applehelp,2.0.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
sphinxcontrib-devhelp,2.0.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
sphinxcontrib-htmlhelp,2.1.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
sphinxcontrib-jsmath,1.0.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
sphinxcontrib-qthelp,2.0.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
sphinxcontrib-serializinghtml,2.0.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
SQLAlchemy,2.0.51,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
sqlparse,0.5.5,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
stack-data,0.6.3,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
starlette,1.3.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
