corrected_basis,corrected_max_deg,corrected_mean_deg,corrected_median_deg,corrected_p95_deg,corrected_rms_deg,corrected_sem_deg_using_effective_n,corrected_std_population_deg,dataset,effective_n,mean_absolute_difference_deg,mean_signed_difference_deg,mean_signed_relative_difference_percent,median_proxy_absolute_difference_deg,mode,production_mean_deg_exact,production_median_deg_event_proxy,production_median_proxy_status,production_reported_n,production_rms_deg_event_proxy,production_sem_deg_using_reported_n,production_std_population_deg_exact,rms_proxy_absolute_difference_deg,sem_absolute_difference_deg,std_absolute_difference_deg,std_signed_difference_deg,std_signed_relative_difference_percent
epoch_098 raw quaternion replay; released production mean/std reproduced within 0.016 degrees,83.29144745883688,14.893903732299805,12.341823336568467,36.16758012726975,19.573149618498732,1.0733120353051202,12.699599266052246,gastruloid_nuclei,140,10.412042617797852,-10.412042617797852,-41.144648272589386,5.393474236740445,all_groundtruth_centers,25.305946350097656,17.735297573308912,near-exact epoch_098 checkpoint replay; released median was not stored,145,37.75558068507919,2.3267622063231634,28.017927169799805,18.182431066580456,1.2534501710180432,15.318327903747559,-15.318327903747559,-54.673309024298575
epoch_098 raw quaternion replay; released production mean/std reproduced within 0.016 degrees,83.29144745883688,14.923011779785156,12.194883859960582,37.9349562740687,20.13535707088006,1.228908972306685,13.517998695373535,gastruloid_nuclei,121,11.386316299438477,-11.386316299438477,-43.2786282688466,5.292700637523781,matched_groundtruth_centers,26.309328079223633,17.487584497484363,near-exact epoch_098 checkpoint replay; released median was not stored,124,41.44244903151384,2.8754894908052395,32.02009582519531,21.307091960633777,1.6465805184985545,18.502097129821777,-18.502097129821777,-57.78276626912287
epoch_098 raw quaternion replay; released production mean/std reproduced within 0.016 degrees,88.87466789660542,19.672212600708008,10.105886726113056,76.65075769096622,29.35549898370277,1.9807950800115413,21.788745880126953,gastruloid_nuclei,121,17.796918869018555,-17.796918869018555,-47.497548437699166,5.096923793165406,predicted_centers,37.46913146972656,15.202810519278461,near-exact epoch_098 checkpoint replay; released median was not stored,124,59.02409209781802,4.093152241854966,45.57941436767578,29.66859311411525,2.112357161843425,23.790668487548828,-23.790668487548828,-52.196081976035224
released raw quaternion plus decoded ground-truth line raster,89.07529976191695,36.63445281982422,32.22158570266962,83.60043489111258,42.79775286826702,2.003202846732029,22.1260986328125,neural_tube_membrane,122,12.93161392211914,-12.93161392211914,-26.089651191096557,8.30526794785284,all_groundtruth_centers,49.56606674194336,40.52685365052246,raster-derived proxy; released event-level production errors and raw annotations were not stored,122,57.05249692742826,2.453891057335872,27.10411262512207,14.25474405916124,0.45068821060384323,4.97801399230957,-4.97801399230957,-18.366268105363403
released raw quaternion plus decoded ground-truth line raster,89.07529976191695,35.47892761230469,29.84352885456576,83.15952800562563,41.46870244009985,2.0107146216432104,21.468557357788086,neural_tube_membrane,114,12.611648559570312,-12.611648559570312,-26.224781575700963,10.445812695833695,matched_groundtruth_centers,48.090576171875,40.289341550399456,raster-derived proxy; released event-level production errors and raw annotations were not stored,114,55.176991837036915,2.4100508682832373,25.732301712036133,13.708289396937069,0.399336246640027,4.263744354248047,-4.263744354248047,-16.56961900246065
released raw quaternion plus decoded ground-truth line raster,89.39576405291879,36.03173828125,32.62048972841633,76.99950643203275,41.193489031750936,1.8699321732604295,19.965412139892578,neural_tube_membrane,114,15.334827423095703,-15.334827423095703,-29.8537136225137,11.481487091124976,predicted_centers,51.3665657043457,44.101976819541306,raster-derived proxy; released event-level production errors and raw annotations were not stored,114,58.91190369198733,2.5880850255148053,27.63318634033203,17.71841466023639,0.7181528522543759,7.667774200439453,-7.667774200439453,-27.74842577328098
