path,shape,dtype,axes,pages,bytes,min,max
DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/runs/01-01/regression/0/bipoints_3.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/runs/01-01/regression/0/bipoints_4.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/runs/01-01/regression/0/bipoints_5.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/runs/01-01/regression/0/bipoints_6.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/runs/01-01/regression/0/bipoints_7.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/runs/01-01/regression/0/bipoints_8.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/runs/01-01/regression/0/bipoints_9.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/runs/01-01/regression/0/im_0.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/runs/01-01/regression/0/im_1.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/runs/01-01/regression/0/im_10.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/runs/01-01/regression/0/im_11.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/runs/01-01/regression/0/im_2.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/runs/01-01/regression/0/im_3.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/runs/01-01/regression/0/im_4.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/runs/01-01/regression/0/im_5.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/runs/01-01/regression/0/im_6.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/runs/01-01/regression/0/im_7.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/runs/01-01/regression/0/im_8.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/runs/01-01/regression/0/im_9.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/runs/01-01/regression/0/label_0.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/runs/01-01/regression/0/label_1.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/runs/01-01/regression/0/label_10.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/runs/01-01/regression/0/label_11.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/runs/01-01/regression/0/label_2.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/runs/01-01/regression/0/label_3.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/runs/01-01/regression/0/label_4.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/runs/01-01/regression/0/label_5.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/runs/01-01/regression/0/label_6.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/runs/01-01/regression/0/label_7.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/runs/01-01/regression/0/label_8.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/runs/01-01/regression/0/label_9.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/runs/01-01/regression/0/pred_0.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/runs/01-01/regression/0/pred_1.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/runs/01-01/regression/0/pred_10.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/runs/01-01/regression/0/pred_11.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/runs/01-01/regression/0/pred_2.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/runs/01-01/regression/0/pred_3.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/runs/01-01/regression/0/pred_4.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/runs/01-01/regression/0/pred_5.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/runs/01-01/regression/0/pred_6.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/runs/01-01/regression/0/pred_7.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/runs/01-01/regression/0/pred_8.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/runs/01-01/regression/0/pred_9.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Gastruloid_241025/weights/segmentation3d_exp10-b/runs/01-01/movie2/movie2_fn.tif,10x180x305x362,uint16,QQYX,1800,397774890,0.0,1.0
DARE3d_data_190326/Gastruloid_241025/weights/segmentation3d_exp10-b/runs/01-01/movie2/movie2_fp.tif,10x180x305x362,uint16,QQYX,1800,397774890,0.0,1.0
DARE3d_data_190326/Gastruloid_241025/weights/segmentation3d_exp10-b/runs/01-01/movie2/movie2_pred.tif,10x180x305x362,uint16,QQYX,1800,397774890,0.0,125.0
DARE3d_data_190326/Gastruloid_241025/weights/segmentation3d_exp10-b/runs/01-01/movie2/movie2_true.tif,10x180x305x362,uint16,QQYX,1800,397774890,0.0,125.0
DARE3d_data_190326/Gastruloid_241025/weights/segmentation3d_exp10-b/runs/01-01/movie2.tif,10x180x305x362,float16,QQYX,1800,397796494,0.0,1.0
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/all_true_centers/movie_I2.tif,21x42x1056x1056,uint8,QQYX,882,983696470,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/groundtruth/movie_I2.tif,21x42x1056x1056,uint8,QQYX,882,983696470,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/matched_true_centers/movie_I2.tif,21x42x1056x1056,uint8,QQYX,882,983696470,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/pred_centers/movie_I2.tif,21x42x1056x1056,uint8,QQYX,882,983696470,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/bipoints_0.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/bipoints_1.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/bipoints_10.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/bipoints_11.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/bipoints_12.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/bipoints_13.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/bipoints_14.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/bipoints_15.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/bipoints_16.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/bipoints_17.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/bipoints_18.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/bipoints_19.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/bipoints_2.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/bipoints_20.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/bipoints_21.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/bipoints_22.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/bipoints_23.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/bipoints_24.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/bipoints_25.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/bipoints_26.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/bipoints_27.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/bipoints_28.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/bipoints_29.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/bipoints_3.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/bipoints_30.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/bipoints_31.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/bipoints_4.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/bipoints_5.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/bipoints_6.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/bipoints_7.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/bipoints_8.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/bipoints_9.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/im_0.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/im_1.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/im_10.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/im_11.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/im_12.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/im_13.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/im_14.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/im_15.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/im_16.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/im_17.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/im_18.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/im_19.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/im_2.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/im_20.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/im_21.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/im_22.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/im_23.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/im_24.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/im_25.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/im_26.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/im_27.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/im_28.tif,3x32x32x32,float32,QSYX,3,395048,,
DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/regression/0/im_29.tif,3x32x32x32,float32,QSYX,3,395048,,
