run,result_json,checkpoint,checkpoint_sha256,scale_mode,scale_xyz,target_shape_txyz,tp,fp,fn,precision,recall,f1,released_all_metrics_exact,generated_probability_sha256,archived_probability_sha256,probability_sha256_exact,array_exact,exact_value_fraction,mae,rmse,pearson_correlation,binary_disagreements_at_0_55,elapsed_inference_and_evaluation_seconds,peak_gpu_allocated_bytes
best_log_reconstructed,docs/reproducibility_audit/checkpoint_runs/nuclei_segmentation/log_reconstructed/best_epoch_067/batch_12/result.json,best,2105e63a6f0b9f2385641b0723f8ecb72ca3f4b9f68f55a70585e43961b9f2f5,log_reconstructed,"[0.912, 0.912, 0.912]","[10, 330, 278, 164]",124,1,21,0.992,0.8551724137931035,0.9185185185185186,True,db3282dd014495cbc43b652ba42c6a616bff1d3e8e36d1c04e2dacf613895071,4ed0abaa7fe463a55dc43b24ee90c79c6deca7e6a677050d4ee27a52a65b8e40,False,False,0.9941602058992242,4.5118715417373223e-07,2.0849969916461867e-05,0.9999998904686824,92,110.5053226,3449447936
last_log_reconstructed,docs/reproducibility_audit/checkpoint_runs/nuclei_segmentation/log_reconstructed/last_last/batch_12/result.json,last,9c81814c7bec9f62fa8d138252672c18bc266bc841aa898be0ee50192b6a9306,log_reconstructed,"[0.912, 0.912, 0.912]","[10, 330, 278, 164]",123,4,22,0.968503937007874,0.8482758620689655,0.9044117647058824,False,3a3b4e31a94f310db4ff3c5eeb34aa005d972f5cc0ea5a685f9dc0629582075a,4ed0abaa7fe463a55dc43b24ee90c79c6deca7e6a677050d4ee27a52a65b8e40,False,False,0.2851554911491511,0.00043335537093539065,0.014368247016655249,0.9474705997206703,82668,114.18501630000083,3449447936
best_bundle_default,docs/reproducibility_audit/checkpoint_runs/nuclei_segmentation/bundle_default/best_epoch_067/batch_12/result.json,best,2105e63a6f0b9f2385641b0723f8ecb72ca3f4b9f68f55a70585e43961b9f2f5,bundle_default,"[0.621, 0.621, 2.0]","[10, 224, 189, 360]",32,5,113,0.8648648648648649,0.2206896551724138,0.3516483516483516,False,3f463736b78f0aff35e74a7cfaf3407f341e1a3b0cdc7f00b3e927d2ebe1d4e8,4ed0abaa7fe463a55dc43b24ee90c79c6deca7e6a677050d4ee27a52a65b8e40,False,False,0.2844590063299419,0.0021122536063980053,0.04280109832141606,0.28658427798426284,406701,105.97043759999997,3454141952
