absolute_length_error_voxels,corrected_axis_defined,corrected_nematic_axis_error_deg,frame,model,movie,predicted_axis_x,predicted_axis_y,predicted_axis_z,predicted_length_voxels,predicted_quaternion_vector_norm,production_quaternion_error_deg,sample_index,scope,true_axis_x,true_axis_y,true_axis_z,true_length_voxels,true_quaternion_vector_norm
10.203269958496094,True,8.439757347106934,2,original,movie_M,0.2902737855911255,0.1600319892168045,0.9434675574302673,16.836519241333008,0.39276406168937683,27.440414428710938,0,controlled_unique_movie_M_crops,0.30151131749153137,0.30151131749153137,0.9045339822769165,6.633249759674072,0.5909690260887146
9.684022903442383,True,58.418819427490234,2,original,movie_M,0.24552975594997406,-0.07308690249919891,0.9666299819946289,17.16733741760254,0.5465335249900818,55.505985260009766,1,controlled_unique_movie_M_crops,0.26726123690605164,0.8017836809158325,0.5345224738121033,7.4833149909973145,0.3148144483566284
9.782768249511719,True,38.514564514160156,2,original,movie_M,0.13817985355854034,-0.08534499257802963,0.9867231845855713,17.266082763671875,0.5020912885665894,37.45759201049805,2,controlled_unique_movie_M_crops,0.26726123690605164,0.5345224738121033,0.8017837405204773,7.4833149909973145,0.4824300706386566
10.153951644897461,True,68.50614929199219,2,original,movie_M,0.27253392338752747,-0.24175629019737244,0.9312782287597656,16.711389541625977,0.6942340135574341,80.4845199584961,3,controlled_unique_movie_M_crops,0.45749568939208984,0.762492835521698,0.45749568939208984,6.557438373565674,0.3446064591407776
11.979982376098633,True,80.0335693359375,2,original,movie_M,0.014640423469245434,0.4795953035354614,0.8773676753044128,18.383106231689453,0.5158381462097168,172.6456298828125,4,controlled_unique_movie_M_crops,0.15617375075817108,-0.9370425343513489,0.31234750151634216,6.4031243324279785,0.9841348528862
10.114217758178711,True,53.05696105957031,2,original,movie_M,0.3309342563152313,-0.5061442852020264,0.7964298725128174,18.176475524902344,0.6600704193115234,127.45672607421875,5,controlled_unique_movie_M_crops,-0.0,-0.9922779202461243,0.12403473258018494,8.062257766723633,0.9980676174163818
10.700843811035156,True,67.5958251953125,3,original,movie_M,0.2022218108177185,-0.24972645938396454,0.9469651579856873,17.77191162109375,0.628585934638977,145.79185485839844,6,controlled_unique_movie_M_crops,-0.0,-0.9899495244026184,0.1414213329553604,7.071067810058594,0.9974842071533203
10.41191291809082,True,56.84130096435547,3,original,movie_M,0.1943650096654892,-0.5841172337532043,0.7880540490150452,17.194242477416992,0.739979088306427,112.65719604492188,7,controlled_unique_movie_M_crops,-0.4423258602619171,-0.8846517205238342,0.14744195342063904,6.78233003616333,0.970734715461731
10.237335205078125,True,82.10310363769531,3,original,movie_M,0.4722253680229187,0.03598984703421593,0.8807428479194641,17.585803985595703,0.45146724581718445,141.5362091064453,8,controlled_unique_movie_M_crops,-0.40824830532073975,-0.8164965510368347,0.40824830532073975,7.348469257354736,0.9530206918716431
12.004755020141602,True,34.232276916503906,3,original,movie_M,0.23921547830104828,0.40595707297325134,0.8820288181304932,17.83570671081543,0.3532561957836151,33.33209228515625,9,controlled_unique_movie_M_crops,0.6859943270683289,0.5144957900047302,0.5144957900047302,5.830951690673828,0.4926988184452057
10.671371459960938,True,53.56455993652344,3,original,movie_M,-0.15942811965942383,0.14135640859603882,0.9770368337631226,16.41593360900879,0.2897913455963135,64.88927459716797,10,controlled_unique_movie_M_crops,0.6963106393814087,0.17407765984535217,0.6963106393814087,5.74456262588501,0.6426205635070801
11.308874130249023,True,66.75575256347656,3,original,movie_M,0.1619800180196762,-0.1269196718931198,0.97859787940979,17.13982582092285,0.5902412533760071,65.69522857666016,11,controlled_unique_movie_M_crops,0.0,0.8574929237365723,0.5144957304000854,5.830951690673828,0.2669335603713989
10.047264099121094,True,31.08635902404785,3,original,movie_M,0.19058740139007568,0.037747349590063095,0.9809442162513733,16.829593658447266,0.4966752529144287,31.830617904663086,12,controlled_unique_movie_M_crops,-0.14744198322296143,0.4423258900642395,0.884651780128479,6.78233003616333,0.5280502438545227
