dataset,model,mode,n,exact_mean_deg,exact_median_deg,exact_sd_population_deg,prior_mean_deg,prior_median_deg,prior_sd_population_deg,exact_minus_prior_mean_deg,exact_minus_prior_median_deg,exact_minus_prior_sd_population_deg
neural_movie_M,original,annotation_crops,80,53.441627502441406,53.67897033691406,22.763471603393555,53.815940856933594,53.434120178222656,22.90283966064453,-0.3743133544921875,0.24485015869140625,-0.13936805725097656
neural_movie_M,retrained,annotation_crops,80,19.546722412109375,16.44617748260498,11.77563762664795,18.945465087890625,17.12960720062256,11.650492668151855,0.60125732421875,-0.6834297180175781,0.12514495849609375
nuclei_movie2,original_epoch_098,all_groundtruth_centers,140,11.893218490108906,9.534827155910733,8.378367313805061,13.670714195878372,10.982744183152922,11.443938384926296,-1.777495705769466,-1.4479170272421893,-3.0655710711212354
nuclei_movie2,original_epoch_098,matched_groundtruth_centers,121,11.587283518369698,9.284822863427419,9.284184213883432,12.840922585100872,10.676944636131006,10.864013808918214,-1.2536390667311732,-1.3921217727035877,-1.5798295950347825
nuclei_movie2,original_epoch_098,predicted_centers,121,20.133459719908565,12.082413043030273,20.941172781476112,19.740105685928604,10.977145655258866,21.08822447387488,0.3933540339799606,1.1052673877714074,-0.1470516923987688
nuclei_movie2,retrained_nematic_epoch_095,all_groundtruth_centers,140,10.475700098047861,8.192761721639833,7.999416573554079,11.736369640423076,9.658257176430261,9.83121051135213,-1.260669542375215,-1.4654954547904282,-1.8317939377980519
nuclei_movie2,retrained_nematic_epoch_095,matched_groundtruth_centers,121,10.019181903332887,7.981327821508419,7.214264538429882,11.010686815585304,9.284840758776546,7.829808129132135,-0.9915049122524167,-1.3035129372681276,-0.6155435907022531
nuclei_movie2,retrained_nematic_epoch_095,predicted_centers,121,18.915742660289155,9.877305148852287,21.451786033547776,19.80617943692261,10.038147597305697,23.10282536711337,-0.8904367766334538,-0.16084244845341011,-1.651039333565592
