count,fraction,lower_deg_inclusive,mode,n,record_type,scenario,scope,threshold_deg,upper_deg_exclusive
23,0.2875,,80_unique_groundtruth_crops,80,cdf_threshold,retrained_corrected,controlled,10,
32,0.4,,80_unique_groundtruth_crops,80,cdf_threshold,retrained_corrected,controlled,15,
48,0.6,,80_unique_groundtruth_crops,80,cdf_threshold,retrained_corrected,controlled,20,
67,0.8375,,80_unique_groundtruth_crops,80,cdf_threshold,retrained_corrected,controlled,30,
77,0.9625,,80_unique_groundtruth_crops,80,cdf_threshold,retrained_corrected,controlled,45,
80,1.0,,80_unique_groundtruth_crops,80,cdf_threshold,retrained_corrected,controlled,60,
80,1.0,,80_unique_groundtruth_crops,80,cdf_threshold,retrained_corrected,controlled,90,
80,1.0,,80_unique_groundtruth_crops,80,cdf_threshold,retrained_corrected,controlled,120,
80,1.0,,80_unique_groundtruth_crops,80,cdf_threshold,retrained_corrected,controlled,150,
80,1.0,,80_unique_groundtruth_crops,80,cdf_threshold,retrained_corrected,controlled,180,
